date,id,YOLL1,YOLL2,YOLL3,humrel,meantemp,maxtemp,mintemp,o3,year,month,week,YLL,month_mean,yll_total,HW,HW_lag1,HW_lag2,HW_lag3,o3_lag1,o3_lag2,o3_lag3,HW_lag0_2,no2,no2_lag1,no2_lag2,no2_lag3,total_death
7/29/1990,59,1046.44,1592.22,639.85,63.9,25.38,30.3,18.1,22.0833,1,2,9,3278.51,21.39427,3278.51,1,1,1,0,25,21.25,14.16667,1,15.64219,21.3,23.68224,20.63437,45
7/30/1990,60,1039.38,994.86,438.46,60,25.91,30.8,21.2,28.75,1,2,9,2472.7,21.39427,2472.7,1,1,1,1,22.08333,25,21.25,1,20.25815,15.64219,21.3,23.68224,36
7/31/1990,61,1790.23,617.63,915.94,75.5,19.33,23.7,16.5,10.4348,1,2,9,3323.8,21.39427,3323.8,0,1,1,1,28.75,22.08333,25,0.6666667,10.09531,20.25815,15.64219,21.3,48
8/1/1990,62,1551.23,166.42,838.48,57.7,19.84,25.8,13.1,11.25,1,3,9,2556.13,20.58781,2556.13,0,0,1,1,10.43478,28.75,22.08333,0.3333333,4.326562,10.09531,20.25815,15.64219,36
8/2/1990,63,956.23,883.06,920.81,59.8,22.47,28.3,15.8,11.25,1,3,9,2760.1,20.58781,2760.1,0,0,0,1,11.25,10.43478,28.75,0,5.76875,4.326562,10.09531,20.25815,39
8/3/1990,64,609.33,610.72,697.16,64,23.92,28.8,18.7,27.9167,1,3,10,1917.21,20.58781,1917.21,0,0,0,0,11.25,11.25,10.43478,0,22.63125,5.76875,4.326562,10.09531,27
8/4/1990,65,757.48,797.37,660.16,62.4,24.25,29.4,18.6,36.6667,1,3,10,2215.01,20.58781,2215.01,0,0,0,0,27.91667,11.25,11.25,0,28.84375,22.63125,5.76875,4.326562,33
8/5/1990,66,1168.39,742.85,531.22,71.3,22.45,26.8,19.4,34.1667,1,3,10,2442.46,20.58781,2442.46,0,0,0,0,36.66667,27.91667,11.25,0,25.84844,28.84375,22.63125,5.76875,35
8/6/1990,67,774.21,546.1,401.34,81.8,19.84,20.9,18.4,20,1,3,10,1721.65,20.58781,1721.65,0,0,0,0,34.16667,36.66667,27.91667,0,14.75469,25.84844,28.84375,22.63125,25
8/7/1990,68,393.59,578.48,1261.84,84.6,18.79,19.4,18.2,7.5,1,3,10,2233.91,20.58781,2233.91,0,0,0,0,20,34.16667,36.66667,0,4.88125,14.75469,25.84844,28.84375,32
8/8/1990,69,901.88,532.81,706.65,66,20.72,25,16.2,16.25,1,3,10,2141.34,20.58781,2141.34,0,0,0,0,7.5,20,34.16667,0,14.64375,4.88125,14.75469,25.84844,31
8/9/1990,70,917.55,591.77,755.11,63.3,21.46,25.8,14.7,24.1667,1,3,10,2264.43,20.58781,2264.43,0,0,0,0,16.25,7.5,20,0,20.96719,14.64375,4.88125,14.75469,34
8/10/1990,71,976.79,778,783.57,71.4,21.5,24.7,19.2,24.5833,1,3,11,2538.36,20.58781,2538.36,0,0,0,0,24.16667,16.25,7.5,0,17.50594,20.96719,14.64375,4.88125,35
8/11/1990,72,728.71,1116.41,788.6,74.9,22.12,26.1,19.6,22.0833,1,3,11,2633.72,20.58781,2633.72,0,0,0,0,24.58333,24.16667,16.25,0,17.41719,17.50594,20.96719,14.64375,37
8/12/1990,73,383.03,724.15,311.54,70.3,21.23,25,18.2,17.5,1,3,11,1418.72,20.58781,1418.72,0,0,0,0,22.08333,24.58333,24.16667,0,17.86094,17.41719,17.50594,20.96719,21
8/13/1990,74,1147.4,748.94,416.73,83.8,17.05,21.2,15.8,3.75,1,3,11,2313.07,20.58781,2313.07,0,0,0,0,17.5,22.08333,24.58333,0,4.326562,17.86094,17.41719,17.50594,33
8/14/1990,75,1228.24,425.58,844.79,75.2,18.21,23,13.4,10.8333,1,3,11,2498.61,20.58781,2498.61,0,0,0,0,3.75,17.5,22.08333,0,3.882813,4.326562,17.86094,17.41719,36
8/15/1990,76,760.62,655.55,821.64,84.2,18.69,22.3,15.7,10.8333,1,3,11,2237.81,20.58781,2237.81,0,0,0,0,10.83333,3.75,17.5,0,8.098437,3.882813,4.326562,17.86094,34
8/16/1990,77,928.34,584.47,443.2,76.3,20.61,25.4,15.9,13.75,1,3,11,1956.01,20.58781,1956.01,0,0,0,0,10.83333,10.83333,3.75,0,10.20625,8.098437,3.882813,4.326562,28
8/17/1990,78,956.55,1175.51,458.72,74.3,23.5,28.7,17.9,29.5833,1,3,12,2590.78,20.58781,2590.78,0,0,0,0,13.75,10.83333,10.83333,0,19.41406,10.20625,8.098437,3.882813,38
8/18/1990,79,1009.56,583.54,596.28,77,21.96,28.4,14.6,40,1,3,12,2189.38,20.58781,2189.38,0,0,0,0,29.58333,13.75,10.83333,0,16.41875,19.41406,10.20625,8.098437,32
8/19/1990,80,578.77,755.93,800.62,56.9,15.98,19.9,10.9,10,1,3,12,2135.32,20.58781,2135.32,0,0,0,0,40,29.58333,13.75,0,6.878125,16.41875,19.41406,10.20625,31
